제1종전용주거지역,제2종전용주거지역,제1종일반주거지역,제2종일반주거지역,제3종일반주거지역,준주거지역,중심상업지역,일반상업지역,근린상업지역,유통상업지역,전용공업지역,일반공업지역,준공업지역,보전녹지지역,생산녹지지역,자연녹지지역,보전관리지역,생산관리지역,계획관리지역,농림지역,자연환경보전지역,base_ym,region_nm
80퍼센트,120퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1300퍼센트,1000퍼센트,700퍼센트,800퍼센트,300퍼센트,350퍼센트,400퍼센트,50퍼센트,80퍼센트,80퍼센트,80퍼센트,80퍼센트,100퍼센트,80퍼센트,80퍼센트,2022-09-13,강릉시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1500퍼센트,1300퍼센트,900퍼센트,1100퍼센트,250퍼센트,300퍼센트,350퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,거제시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,경산시
80퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,900퍼센트,800퍼센트,600퍼센트,600퍼센트,300퍼센트,350퍼센트,400퍼센트,60퍼센트,80퍼센트,100퍼센트,,,,,,2022-09-13,계룡시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,200퍼센트","1,100퍼센트",700퍼센트,700퍼센트,300퍼센트,350퍼센트,350퍼센트,60퍼센트,80퍼센트,80퍼센트,,,,,,2022-09-13,고양시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,광양시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,광주광역시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,광주시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천300퍼센트,1천100퍼센트,900퍼센트,900퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,구미시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,군위군
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,80퍼센트,80퍼센트,100퍼센트,80퍼센트,80퍼센트,2022-09-13,군포시
80퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,350퍼센트,"1,000퍼센트",800퍼센트,600퍼센트,700퍼센트,250퍼센트,300퍼센트,300퍼센트,80퍼센트,100퍼센트,100퍼센트,80퍼센트,80퍼센트,100퍼센트,80퍼센트,80퍼센트,2022-09-13,금산군
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1500퍼센트,1300퍼센트,900퍼센트,1100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,,,,,,,,2022-09-13,김제시
80퍼센트,120퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,000퍼센트",800퍼센트,600퍼센트,600퍼센트,250퍼센트,350퍼센트,350퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,김천시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,80퍼센트,80퍼센트,100퍼센트,80퍼센트,80퍼센트,2022-09-13,김포시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,나주시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,남양주시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,400퍼센트,"1,200퍼센트","1,100퍼센트",700퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,남원시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,,"1,000퍼센트",,,700퍼센트,300퍼센트,350퍼센트,400퍼센트,,100퍼센트,100퍼센트,,,,,,2022-09-13,남해군
80퍼센트,150퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,700퍼센트,500퍼센트,400퍼센트,400퍼센트,300퍼센트,350퍼센트,400퍼센트,50퍼센트,80퍼센트,80퍼센트,,,,,,2022-09-13,논산시
100퍼센트,150퍼센트,180퍼센트,230퍼센트,,380퍼센트,1200퍼센트,900퍼센트,700퍼센트,400퍼센트,300퍼센트,350퍼센트,400퍼센트,50퍼센트,90퍼센트,100퍼센트,,,,,,2022-09-13,당진시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,대구광역시
80퍼센트,120퍼센트,150퍼센트,220퍼센트,250퍼센트,400퍼센트,1300퍼센트,1000퍼센트,700퍼센트,800퍼센트,300퍼센트,350퍼센트,400퍼센트,60퍼센트,60퍼센트,60퍼센트,,,,,,2022-09-13,대전광역시
100퍼센트,150퍼센트,180퍼센트,230퍼센트,300퍼센트,450퍼센트,"1,000퍼센트",900퍼센트,500퍼센트,400퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,80퍼센트,100퍼센트,,,,,,2022-09-13,동두천시
,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,000퍼센트","1,000퍼센트",600퍼센트,600퍼센트,300퍼센트,350퍼센트,400퍼센트,,100퍼센트,100퍼센트,,,,,,2022-09-13,동해시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,목포시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천5백퍼센트,1천3백퍼센트,900퍼센트,1천1백퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,문경시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,보령시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,부산광역시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,270퍼센트,400퍼센트,"1,500퍼센트",900퍼센트,900퍼센트,900퍼센트,300퍼센트,,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,부천시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,300퍼센트","1,000퍼센트",700퍼센트,800퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,사천시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천500퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,상주시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,400퍼센트,1천300퍼센트,1천100퍼센트,700퍼센트,900퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,80퍼센트,100퍼센트,,,,,,2022-09-13,서산시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,일반공업지역,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,서울특별시
100퍼센트,120퍼센트,200퍼센트,220퍼센트,250퍼센트,400퍼센트,1천,1천,800퍼센트,900퍼센트,300퍼센트,350퍼센트,400퍼센트,60퍼센트,100퍼센트,,,,,,,2022-09-13,서천군
100퍼센트,120퍼센트,150퍼센트,200퍼센트,250퍼센트,400퍼센트,"1,300퍼센트","1,100퍼센트",700퍼센트,900퍼센트,300퍼센트,350퍼센트,400퍼센트,60퍼센트,70퍼센트,80퍼센트,,,,,,2022-09-13,성남시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1천5000퍼센트,1천300퍼센트,900퍼센트,1천100퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,성주군
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,세종특별자치시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,500퍼센트","1,300퍼센트",900퍼센트,"1,100퍼센트",300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,속초시
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,400퍼센트,1천퍼센트,800퍼센트,700퍼센트,800퍼센트,300퍼센트,350퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,순천시
100퍼센트,120퍼센트,180퍼센트,220퍼센트,300퍼센트,400퍼센트,1천300퍼센트,1천퍼센트,700퍼센트,800퍼센트,300퍼센트,350퍼센트,400퍼센트,60퍼센트,80퍼센트,80퍼센트,,,,,,2022-09-13,시흥시
